Designator,Mid X,Mid Y,Rotation,Layer
C10,105.6,-125.5,0.0,top
C11,104.1,-113.9,0.0,top
C20,133.2,-85.1,180.0,top
C21,133.2,-92.7,180.0,top
C22,133.2,-100.3,180.0,top
C23,136.3,-82.0,90.0,top
C24,136.3,-89.6,90.0,top
C25,136.3,-97.2,90.0,top
C26,133.2,-107.9,180.0,top
C27,133.2,-115.5,180.0,top
C28,133.2,-123.1,180.0,top
C29,136.3,-104.8,90.0,top
C30,136.3,-112.4,90.0,top
C31,136.3,-120.0,90.0,top
C40,103.6,-56.3,180.0,top
C60,86.6,-68.707,90.0,top
C70,114.1,-80.3,90.0,top
C71,104.9,-80.3,90.0,top
C90,87.0,-58.7,270.0,top
D40,110.5,-60.7,0.0,top
R10,108.0,-122.6,90.0,top
R11,106.1,-122.6,270.0,top
R12,104.2,-122.6,270.0,top
R13,104.2,-119.2,90.0,top
R14,106.1,-119.2,90.0,top
R15,108.0,-119.2,270.0,top
R16,109.9,-122.6,90.0,top
R17,109.9,-119.2,270.0,top
R20,128.2,-85.1,0.0,top
R21,128.2,-92.7,0.0,top
R22,128.2,-100.3,0.0,top
R23,128.2,-107.9,0.0,top
R24,128.2,-115.5,0.0,top
R25,128.2,-123.1,0.0,top
R40,81.7,-61.2,0.0,top
R60,95.5,-68.9,180.0,top
R70,104.9,-84.6,270.0,top
R80,99.0,-68.9,0.0,top
R90,111.0,-70.3,90.0,top
R91,111.0,-66.9,270.0,top
R92,111.0,-63.5,270.0,top
R93,78.3,-61.2,180.0,top
R94,74.9,-61.2,180.0,top
U20,130.7,-81.3,270.0,top
U21,130.7,-88.9,270.0,top
U22,130.7,-96.5,270.0,top
U23,130.7,-104.1,270.0,top
U24,130.7,-111.7,270.0,top
U25,130.7,-119.3,270.0,top
U60,80.5,-66.5,270.0,top
U70,118.7,-82.4,0.0,top
U71,109.5,-82.4,0.0,top
X12,88.3,-64.9,0.0,bottom
X20,150.952,-83.2,0.0,bottom
X21,150.952,-89.7,0.0,bottom
X22,150.952,-96.2,0.0,bottom
X23,150.952,-102.7,0.0,bottom
X24,150.952,-109.2,0.0,bottom
X25,150.952,-115.7,0.0,bottom
X40,81.48,-56.66,90.0,bottom
X90,103.632,-69.04,180.0,bottom
X91,61.14,-69.54,180.0,bottom
X92,81.48,-59.2,90.0,bottom
